,,Country Code,Values,,,,,,,,
,,GB,GB,IL,IL,PS,PS,RU,RU,US,US
Date,OS,Sum of clicks,Count of Installs,Sum of clicks,Count of Installs,Sum of clicks,Count of Installs,Sum of clicks,Count of Installs,Sum of clicks,Count of Installs
    2017-04-01,Android,1467,9,89597,286,71512,167,97509,88,4750,16
    2017-04-01,iOS,33389,23,33013,178,189,1,54455,47,30758,42
    2017-04-02,Android,714,5,85620,266,80763,162,94235,102,2821,11
    2017-04-02,iOS,25378,27,12781,58,,,54931,74,29928,36
    2017-04-03,Android,288,2,73889,210,80714,163,107842,97,3405,14
    2017-04-03,iOS,27262,23,9027,41,,,71543,85,22250,29
    2017-04-04,Android,,,83859,279,72295,162,102134,103,6835,9
    2017-04-04,iOS,32178,21,10642,54,,,44700,85,15001,29
    2017-04-05,Android,,,91505,255,80098,151,94528,93,1395,7
    2017-04-05,iOS,31760,28,14312,53,193,1,49127,58,12725,19
    2017-04-06,Android,,,96667,267,80769,168,93987,69,2170,8
    2017-04-06,iOS,36399,24,21176,90,,,32337,53,18845,26
    2017-04-07,Android,,,79627,229,83125,198,167771,93,1915,8
    2017-04-07,iOS,40075,26,15708,57,137,1,46899,81,16240,19
    2017-04-08,Android,124,1,92750,318,88963,180,165955,84,1512,9
    2017-04-08,iOS,52394,25,20570,103,,,63947,72,23439,30
    2017-04-09,Android,170,1,99881,358,61390,160,128475,88,1027,7
    2017-04-09,iOS,31790,24,27723,121,,,46183,65,25499,37
    2017-04-10,Android,172,1,121333,347,85024,179,105460,90,584,4
    2017-04-10,iOS,47186,27,17182,60,,,38907,62,15729,22
    2017-04-11,Android,,,104021,328,71596,159,83073,71,116,1
    2017-04-11,iOS,27217,23,16342,56,,,45753,74,13813,30
    2017-04-12,Android,,,121310,361,58628,151,103254,114,559,4
    2017-04-12,iOS,22618,19,17147,58,,,40592,91,15506,25
    2017-04-13,Android,104,1,127523,398,45920,144,64731,105,321,2
    2017-04-13,iOS,24865,24,22504,110,,,61047,153,11650,17
    2017-04-14,Android,,,128011,438,13341,27,53416,91,811,3
    2017-04-14,iOS,25313,20,15650,63,,,69988,158,11338,13
    2017-04-15,Android,108,1,117713,447,10455,18,51498,101,773,4
    2017-04-15,iOS,28722,22,15054,66,,,72786,129,21101,19
    2017-04-16,Android,275,2,109201,389,8839,13,71385,98,458,3
    2017-04-16,iOS,25399,21,18826,57,,,81808,146,14934,15
    2017-04-17,Android,142,1,117756,403,5887,13,52360,91,492,3
    2017-04-17,iOS,19049,21,19796,74,,,78117,139,14151,15
    2017-04-18,Android,,,121782,450,5377,13,53497,93,585,4
    2017-04-18,iOS,21194,19,13299,51,,,91161,261,12093,21
    2017-04-19,Android,135,1,116756,437,4947,16,42071,87,940,5
    2017-04-19,iOS,15019,19,10436,49,,,76958,146,13182,14
    2017-04-20,Android,124,1,123640,473,1920,1,43909,66,193,1
    2017-04-20,iOS,15889,18,12053,43,,,98843,165,13652,19
    2017-04-21,Android,136,1,125770,470,3226,6,52441,69,361,2
    2017-04-21,iOS,22523,23,32185,160,,,119984,193,19016,12
    2017-04-22,Android,475,2,121953,458,579,4,68844,91,,
    2017-04-22,iOS,28256,20,27642,113,,,129553,214,20202,21
    2017-04-23,Android,124,1,96879,353,134,1,57536,110,423,3
    2017-04-23,iOS,23608,17,13752,58,169,1,99158,140,11557,22
    2017-04-24,Android,,,96640,411,,,38525,73,422,2
    2017-04-24,iOS,28214,19,17128,72,,,92792,129,9512,11
